cancion,artista,fecha_lanzamiento,rank_global,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,tiktok_posts,tiktok_views,shazam_counts,anio_lanzamiento
MANIKIN (feat. Wifisfuneral),XXXTENTACION,2023-09-08,868,52.1,"4,306,793","4,668","412,676",,,,,"38,034",2023
Copines,Aya Nakamura,2018-08-24,867,52.1,"381,322,519","70,125","7,759,068",67.0,"793,025,740","9,295,551","8,503,116,899","5,305,717",2018
Thank God,Kane Brown,2022-09-09,866,52.1,"157,341,967","20,612","11,359,519",67.0,"98,239,826","213,898","123,462,516","1,100,920",2022
TQM,Fuerza Regida,2023-05-19,869,51.8,"497,682,165","40,368","24,948,673",70.0,"143,949,357","236,300","824,220,151","616,368",2023
Lily,Alan Walker,2018-12-14,870,51.8,"403,860,053","45,516","8,731,552",66.0,"1,057,546,150","7,210,674","1,297,576,376","1,793,716",2018
Massive,Drake,2022-06-17,873,51.7,"253,114,498","111,173","20,965,015",65.0,"42,397,563","188,128","887,138,394","2,091,080",2022
a lot,21 Savage,2018-12-21,872,51.7,"949,835,159","219,301","32,815,164",73.0,"905,118,647","55,114","131,214,658","3,759,769",2018
Adicto (with Anuel AA & Ozuna),Tainy,2019-08-22,871,51.7,"711,861,577","84,611","28,656,289",69.0,"1,359,220,447","611,826","185,706,534","1,522,049",2019
Tek Baï¿½ï¿½,Semicenk,2024-05-03,875,51.6,"21,803,486","1,250","4,918,007",72.0,"39,172,911",,,"90,134",2024
BAND4BAND,Central Cee,2024-06-06,874,51.6,"86,144,467",1,24,,,,,,2024
Look What You Made Me Do,Taylor Swift,2017-08-24,876,51.6,"1,152,346,128","93,178","62,880,711",75.0,"1,922,214,505","178,524","563,244,716","5,102,278",2017
WOKE UP,XG,2024-05-21,877,51.5,"16,684,393","1,247","25,606,219",74.0,"19,177,238","23,413",,"63,167",2024
Toki,Casper Magico,2024-05-02,878,51.5,"13,741,023","2,062","5,740,990",72.0,"39,658,915",,,"80,807",2024
Young Dumb & Broke,Khalid,2017-01-01,881,51.4,"1,527,159,800","187,813","83,108,168",76.0,"1,270,330,281","194,595","216,666,194","6,513,209",2017
El Beneficio De La Duda,Grupo Firme,2024-05-28,880,51.4,"15,557,247",446,"37,375,496",73.0,"16,286,691",,,"91,868",2024
ALV,Arcï¿½ï¿½,2023-11-17,882,51.4,"118,490,212","10,053","10,075,643",72.0,"158,132,299",,,"514,683",2023
In A Minute,Lil Baby,2022-04-07,879,51.4,"171,118,535","81,407","13,177,118",57.0,"238,335,324","75,540","191,118,526","1,695,618",2022
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,2020-03-20,884,51.4,"1,549,317,525","178,149","71,174,158",73.0,"385,884,628","89,958","426,511,103","3,251,107",2020
No Se Vale,Camilo,2024-02-07,883,51.4,"19,388,370","1,341","7,152,408",,"19,658,783","871,174","441,343,495","42,410",2024
Jerusalema (feat. Nomcebo Zikode),Master KG,2019-11-29,885,51.3,"406,132,477","110,858","13,496,585",66.0,"925,222,640","790,561","849,243,924","15,915,419",2019
DENTRO DA HILUX,Luan Pereira,2023-08-24,888,51.2,"178,699,480","14,552","18,055,636",24.0,"261,753,577",,"2,800,000","121,733",2023
Funk do Patinho,Bento e Totï¿,2022-01-22,887,51.2,"16,197,748","1,827","221,916",55.0,"967,275,295","31,500","40,465,134","16,249",2022
El Amor de Mi Vida,Los ï¿½ï¿½ngeles Az,2023-08-17,886,51.2,"130,709,283","12,585","10,844,674",64.0,"248,099,324",682,"3,169,042","555,880",2023
Blueberry Faygo,Lil Mosey,2019-11-08,889,51.2,"1,295,251,940","197,036","39,104,125",67.0,"380,793,694","1,099,556","1,065,757,953","2,786,545",2019
Jiggle Jiggle,Duke & Jones,2022-05-13,891,51.2,"121,214,716","37,436","6,111,674",56.0,"12,801,028","4,762,920","14,693,507,776","1,772,963",2022
